ID,Eggrate,AOD,Geno,Treat,Mat
i1511,0.2,13,RAMSEY,0.008,Y
i1532,0.212643678,61,RAMSEY,0.008,Y
i1535,0.005,55,RAMSEY,0.008,Y
i3193,0.114285714,19,RAMSEY,0.008,Y
i3196,0.15,17,RAMSEY,0.008,Y
i3206,0.024209486,65,RAMSEY,0.008,Y
i915,1.440559441,27,GLEN,0.025,Y
i916,0.071428571,15,GLEN,0.025,Y
i920,0.142857143,17,GLEN,0.025,Y
i921,0.776315789,41,GLEN,0.025,Y
i923,1,11,GLEN,0.025,Y
i924,0.332692308,55,GLEN,0.025,Y
i925,0.703571429,37,GLEN,0.025,Y
i926,0.534313725,39,GLEN,0.025,Y
i930,0.708333333,21,GLEN,0.025,Y
i931,0.853093965,71,GLEN,0.025,Y
i932,0.25,9,GLEN,0.025,Y
i933,0.401298701,73,GLEN,0.025,Y
i934,0.5,11,GLEN,0.025,Y
i935,0.237815126,73,GLEN,0.025,Y
i936,0.754545455,25,GLEN,0.025,Y
i938,0.698395722,73,GLEN,0.025,Y
i939,0.762237762,27,GLEN,0.025,Y
i940,0.317293233,43,GLEN,0.025,Y
i941,0.878913043,51,GLEN,0.025,Y
i942,0.467826087,53,GLEN,0.025,Y
i943,0.3,13,GLEN,0.025,Y
i946,0.880288958,39,GLEN,0.025,Y
i948,0.978571429,31,GLEN,0.025,Y
i949,0.457575758,27,GLEN,0.025,Y
i950,0.85,11,GLEN,0.025,Y
i952,0.392857143,17,GLEN,0.025,Y
i3601,0.190909091,23,GLEN,0.025,Y
i3603,0.5,11,GLEN,0.025,Y
i3604,0.785714286,19,GLEN,0.025,Y
i3606,0.522307692,55,GLEN,0.025,Y
i3608,0.214285714,19,GLEN,0.025,Y
i3610,0.335964912,43,GLEN,0.025,Y
i3611,0.533333333,21,GLEN,0.025,Y
i3615,0.791666667,21,GLEN,0.025,Y
i3617,0.478844169,41,GLEN,0.025,Y
i3622,0.253496503,27,GLEN,0.025,Y
i3631,0.791208791,33,GLEN,0.025,Y
i3632,0.391666667,25,GLEN,0.025,Y
i3642,0.225188752,81,GLEN,0.025,Y
i3645,0.6,15,GLEN,0.025,Y
i3646,0.318181818,27,GLEN,0.025,Y
i3647,0.128571429,15,GLEN,0.025,Y
i3648,0.469117647,35,GLEN,0.025,Y
i959,0.589160839,31,GLEN,0.021,Y
i961,0.600490196,37,GLEN,0.021,Y
i962,0.755494505,29,GLEN,0.021,Y
i964,0.188311688,47,GLEN,0.021,Y
i965,0.712121212,25,GLEN,0.021,Y
i967,0.748768473,59,GLEN,0.021,Y
i968,0.625,19,GLEN,0.021,Y
